,PostalCode,Borough,Neighborhood,Latitude,Longitude,Cluster Labels,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
0,M3A,North York,Parkwoods,43.7532586,-79.3296565,0,Fast Food Restaurant,Construction & Landscaping,Park,Food & Drink Shop,Yoga Studio,Modern European Restaurant,Martial Arts School,Massage Studio,Medical Center,Mediterranean Restaurant
1,M4A,North York,Victoria Village,43.7258823,-79.3155716,1,Intersection,Pizza Place,Hockey Arena,French Restaurant,Coffee Shop,Portuguese Restaurant,Medical Center,Mediterranean Restaurant,Men's Store,Museum
2,M5A,Downtown Toronto,"Regent Park, Harbourfront",43.6542599,-79.3606359,1,Coffee Shop,Park,Bakery,Theater,Performing Arts Venue,Breakfast Spot,Café,Chocolate Shop,Restaurant,Pub
3,M6A,North York,"Lawrence Manor, Lawrence Heights",43.718518,-79.4647633,1,Clothing Store,Accessories Store,Vietnamese Restaurant,Miscellaneous Shop,Coffee Shop,Boutique,Furniture / Home Store,Mediterranean Restaurant,Medical Center,Men's Store
4,M7A,Queen's Park,Ontario Provincial Government,43.6623015,-79.3894938,1,Coffee Shop,Sushi Restaurant,Diner,Café,Yoga Studio,Mexican Restaurant,Fried Chicken Joint,Beer Bar,Burrito Place,Smoothie Shop
6,M1B,Scarborough,"Malvern, Rouge",43.8066863,-79.1943534,0,Fast Food Restaurant,Yoga Studio,Lounge,Market,Martial Arts School,Massage Studio,Medical Center,Mediterranean Restaurant,Men's Store,Metro Station
7,M3B,North York,Don Mills North,43.7459058,-79.352188,1,Gym,Café,Caribbean Restaurant,Dessert Shop,Japanese Restaurant,Medical Center,Mediterranean Restaurant,Men's Store,Metro Station,Mexican Restaurant
8,M4B,East York,"Parkview Hill, Woodbine Gardens",43.7063972,-79.309937,1,Pizza Place,Gym / Fitness Center,Gastropub,Flea Market,Bank,Intersection,Athletics & Sports,Breakfast Spot,Pharmacy,Pet Store
9,M5B,Downtown Toronto,"Garden District, Ryerson",43.6571618,-79.3789371,1,Café,Coffee Shop,Clothing Store,Theater,Mexican Restaurant,Spa,Shopping Mall,Electronics Store,Middle Eastern Restaurant,Steakhouse
10,M6B,North York,Glencairn,43.709577,-79.4450726,1,Pizza Place,Park,Sushi Restaurant,Bakery,Japanese Restaurant,Yoga Studio,Mobile Phone Shop,Martial Arts School,Massage Studio,Medical Center
